Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,ExpensesToAssets_ratio,LiquidityRatio,OverallRiskScore,ReturnOnInvestment,UnremmittedContributionsToAssetsRatio,ComplianceToTable G,Inflation,CBKrate,Exchange_rate
192,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,0," 249,215,917.00 ",0.00%,22%,0,2%,0%,0,7%,13%,103.78
192,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,0," 224,308,837.00 ",0.00%,24%,0,13%,0%,0,7%,10%,101.78
1920,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,2849," 2,423,536,406.00 ",1.08%,-8%,3.03,21%,0%,1,5%,11%,134.8
1920,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,1762," 1,788,649,745.00 ",1.38%,4%,3.04,4%,0%,1,7%,13%,151.77
1920,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,1661," 1,635,722,291.00 ",1.49%,-84%,3.08,5%,0%,1,9%,9%,121.95
1920,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,1774," 1,333,235,013.00 ",1.50%,-78%,3.48,9%,0%,1,6%,7%,111.93
1920,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,1273," 982,028,375.50 ",1.52%,-2%,0,9%,0%,0,5%,7%,109.51
1920,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,1329," 797,521,046.00 ",1.56%,-10%,0,13%,0%,0,5%,9%,102.55
1920,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,1047," 632,184,657.00 ",2.32%,-62%,0,8%,0%,0,6%,9%,101.88
1920,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,982," 479,638,063.00 ",1.84%,-16%,0,13%,0%,0,5%,10%,103.37
1920,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,829," 353,809,419.00 ",2.28%,-36%,0,9%,0%,0,7%,10%,101.78
1920,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,607," 242,131,043.00 ",1.51%,-75%,0,3%,0%,0,7%,13%,103.78
1920,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,416," 147,321,689.00 ",1.44%,-53%,0,10%,0%,0,7%,10%,101.78
1921,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,0," 2,335,531.00 ",0.00%,350%,0,222%,0%,0,5%,10%,103.37
1921,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,33," 45,432,398.00 ",0.00%,51%,0,8%,0%,0,7%,10%,101.78
1921,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,24," 36,459,511.00 ",0.00%,24%,0,7%,0%,0,7%,13%,103.78
1921,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,21," 25,874,834.00 ",0.00%,5%,0,8%,0%,0,7%,10%,101.78
1923,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,5,2974," 1,354,116,877.00 ",0.48%,13%,2.21,9%,0%,1,5%,11%,134.8
1923,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,2719," 1,040,450,171.00 ",0.48%,9%,2.27,9%,0%,5,7%,13%,151.77
1923,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,2318," 679,575,270.00 ",0.55%,20%,2.54,7%,0%,5,9%,9%,121.95
1923,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,5,1865," 504,694,167.00 ",0.51%,35%,3.52,9%,0%,5,6%,7%,111.93
1923,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,1929," 443,649,357.00 ",0.59%,42%,0,6%,0%,0,5%,7%,109.51
1923,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,3620," 392,341,665.00 ",0.68%,29%,0,9%,0%,0,5%,9%,102.55
1923,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,1957," 329,004,252.00 ",0.76%,30%,0,9%,0%,0,6%,9%,101.88
1923,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,1957," 269,153,576.00 ",0.80%,19%,0,10%,0%,0,5%,10%,103.37
1923,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,1626," 207,114,236.00 ",0.82%,21%,0,5%,0%,0,7%,10%,101.78
1923,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,1632," 162,550,306.00 ",1.11%,15%,0,7%,0%,0,7%,13%,103.78
1923,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,1755," 122,575,099.00 ",1.66%,15%,0,12%,0%,0,7%,10%,101.78
1924,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,246," 706,818,439.00 ",1.32%,16%,2.93,13%,0%,1,5%,11%,134.8
1924,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,227," 567,428,672.00 ",1.48%,17%,2.92,7%,0%,1,7%,13%,151.77
1924,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,220," 478,222,904.00 ",1.48%,36%,2.86,3%,0%,1,9%,9%,121.95
1924,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,220," 427,583,972.00 ",1.32%,22%,3.48,11%,0%,1,6%,7%,111.93
1924,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,178," 343,959,025.00 ",1.32%,7%,0,7%,0%,0,5%,7%,109.51
1924,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,165," 273,595,465.00 ",1.46%,11%,0,10%,0%,0,5%,9%,102.55
1924,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,98," 216,335,225.00 ",1.43%,16%,0,11%,0%,0,6%,9%,101.88
1924,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,95," 168,164,876.00 ",1.50%,19%,0,11%,0%,0,5%,10%,103.37
1924,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,94," 127,899,926.00 ",3.40%,26%,0,4%,0%,0,7%,10%,101.78
1924,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,96," 101,012,377.00 ",1.68%,9%,0,6%,0%,0,7%,13%,103.78
1924,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,96," 68,283,580.00 ",1.82%,4%,0,7%,0%,0,7%,10%,101.78
1925,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,137," 346,519,386.00 ",1.14%,69%,3.9,11%,22%,1,5%,11%,134.8
1925,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,126," 328,309,555.00 ",0.89%,47%,3.22,9%,19%,5,7%,13%,151.77
1925,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,0," 300,941,652.00 ",0.71%,44%,3.22,9%,11%,5,9%,9%,121.95
1925,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,133," 273,968,547.00 ",0.35%,13%,3.44,9%,8%,5,6%,7%,111.93
1925,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,133," 233,908,586.00 ",0.59%,16%,0,8%,2%,0,5%,7%,109.51
1925,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,129," 200,938,480.00 ",0.64%,22%,0,9%,4%,0,5%,9%,102.55
1925,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,118," 172,498,801.00 ",0.35%,2%,0,7%,3%,0,6%,9%,101.88
1925,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,135," 142,038,190.00 ",0.27%,8%,0,10%,57%,0,5%,10%,103.37
1925,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,134," 83,450,181.00 ",0.11%,1%,0,7%,67%,0,7%,13%,103.78
1925,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,131," 61,008,503.00 ",0.25%,1%,0,9%,67%,0,7%,10%,101.78
1926,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,3179," 15,477,086,462.00 ",0.57%,44%,2.12,11%,0%,1,5%,11%,134.8
1926,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,3097," 14,093,596,325.00 ",0.62%,65%,2.34,5%,0%,1,7%,13%,151.77
1926,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,3163," 13,552,673,621.00 ",0.62%,147%,2.3,-1%,0%,1,9%,9%,121.95
1926,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,3179," 13,871,950,347.00 ",0.54%,21%,2.68,11%,0%,1,6%,7%,111.93
1926,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,3169," 12,000,697,182.00 ",0.52%,38%,0,6%,0%,0,5%,7%,109.51
1926,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,3180," 11,079,898,609.00 ",0.84%,37%,0,7%,0%,0,5%,9%,102.55
1926,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,3230," 10,104,429,059.00 ",0.53%,15%,0,10%,0%,0,6%,9%,101.88
1926,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,3251," 8,591,080,763.00 ",0.64%,11%,0,11%,0%,0,5%,10%,103.37
1926,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,3210," 7,093,736,159.00 ",0.57%,14%,0,3%,0%,0,7%,10%,101.78
1926,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,2955," 6,272,408,676.00 ",0.54%,-394%,0,11%,0%,0,7%,13%,103.78
1928,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,5,355," 447,992,306.00 ",0.41%,22%,4.12,9%,0%,1,5%,11%,134.8
1928,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,5,319," 370,234,291.00 ",0.25%,32%,3.36,9%,0%,5,7%,13%,151.77
1928,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,5,313," 316,101,415.00 ",0.36%,42%,3.36,9%,0%,5,9%,9%,121.95
1928,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,0," 274,370,060.00 ",0.20%,58%,2.72,8%,0%,5,6%,7%,111.93
1928,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,202," 244,739,552.00 ",0.20%,39%,0,9%,0%,0,5%,7%,109.51
1928,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,0," 205,915,179.00 ",0.20%,25%,0,7%,0%,0,5%,9%,102.55
1928,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,211," 168,635,142.00 ",0.20%,41%,0,10%,0%,0,6%,9%,101.88
1928,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,0," 51,330,535.00 ",0.20%,24%,0,5%,0%,0,7%,10%,101.78
1928,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,0," 25,437,800.00 ",0.20%,53%,0,8%,0%,0,7%,13%,103.78
1928,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,23," 18,925,583.00 ",0.20%,-4%,0,6%,0%,0,7%,10%,101.78
1929,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,128," 92,623,982.00 ",0.57%,62%,3.29,10%,6%,1,5%,11%,134.8
1929,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,136," 87,585,177.00 ",0.63%,158%,3.1,9%,2%,5,7%,13%,151.77
1929,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,178," 96,144,729.00 ",0.61%,133%,3.06,6%,1%,5,9%,9%,121.95
1929,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,148," 99,978,048.00 ",0.56%,33%,2.46,8%,0%,5,6%,7%,111.93
1929,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,145," 89,184,650.00 ",0.59%,93%,0,8%,0%,0,5%,7%,109.51
1929,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,143," 88,092,458.00 ",0.59%,92%,0,10%,1%,0,5%,9%,102.55
1929,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,139," 86,514,037.00 ",0.61%,78%,0,8%,0%,0,6%,9%,101.88
1929,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,140," 82,852,496.00 ",0.39%,-305%,0,5%,0%,0,5%,10%,103.37
1929,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,94," 30,698,153.00 ",0.39%,14%,0,7%,0%,0,7%,10%,101.78
1929,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,77," 21,968,876.00 ",0.36%,13%,0,6%,0%,0,7%,13%,103.78
1929,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,72," 14,563,965.00 ",0.44%,8%,0,9%,0%,0,7%,10%,101.78
193,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,125," 100,203,425.00 ",1.86%,15%,3.09,15%,0%,1,5%,11%,134.8
193,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,78," 82,174,392.00 ",1.69%,140%,3.11,2%,0%,1,7%,13%,151.77
193,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,81," 83,795,086.00 ",1.54%,312%,3.12,-1%,0%,1,9%,9%,121.95
193,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,84," 88,548,855.00 ",2.27%,109%,3.4,12%,0%,1,6%,7%,111.93
193,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,90," 89,748,379.00 ",1.70%,87%,0,10%,0%,0,5%,7%,109.51
193,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,94," 88,281,177.00 ",1.68%,254%,0,15%,0%,0,5%,9%,102.55
193,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,107," 115,909,788.00 ",1.60%,234%,0,12%,0%,0,6%,9%,101.88
193,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,132," 142,392,098.00 ",1.39%,66%,0,14%,0%,0,5%,10%,103.37
193,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,144," 132,183,308.00 ",1.51%,49%,0,13%,0%,0,7%,10%,101.78
193,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,153," 118,752,024.00 ",1.61%,131%,0,1%,0%,0,7%,13%,103.78
193,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,177," 122,008,999.00 ",1.54%,64%,0,13%,0%,0,7%,10%,101.78
1930,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,158," 45,007,749.00 ",1.22%,35%,3.01,10%,0%,1,5%,11%,134.8
1930,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,127," 37,968,046.00 ",1.29%,10%,2.84,9%,0%,5,7%,13%,151.77
1930,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,131," 30,480,332.00 ",0.89%,39%,2.46,6%,0%,5,9%,9%,121.95
1930,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,98," 27,178,035.00 ",0.84%,44%,2.66,8%,0%,5,6%,7%,111.93
1930,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,0," 22,492,745.00 ",0.78%,37%,0,7%,0%,0,5%,7%,109.51
1930,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,0," 19,263,052.00 ",2.16%,5%,0,7%,0%,0,5%,9%,102.55
1931,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,85," 289,030,841.00 ",0.85%,11%,2.76,10%,0%,1,5%,11%,134.8
1931,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,86," 243,658,016.00 ",0.64%,6%,2.3,9%,0%,5,7%,13%,151.77
1931,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,0," 204,308,138.00 ",0.40%,4%,2.2,6%,0%,5,9%,9%,121.95
1931,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,0," 172,167,299.00 ",0.39%,10%,3.12,8%,0%,5,6%,7%,111.93
1931,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,81," 143,065,630.00 ",1.02%,18%,0,7%,0%,0,5%,7%,109.51
1931,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,81," 121,454,232.00 ",0.00%,13%,0,9%,0%,0,5%,9%,102.55
1931,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,83," 98,846,517.00 ",0.00%,10%,0,8%,1%,0,6%,9%,101.88
1931,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,0," 78,591,033.00 ",0.00%,15%,0,8%,3%,0,5%,10%,103.37
1931,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,0," 61,192,787.00 ",0.00%,3%,0,7%,0%,0,7%,10%,101.78
1931,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,0," 43,548,405.00 ",0.00%,2%,0,6%,0%,0,7%,13%,103.78
1931,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 28,470,450.00 ",0.00%,-1%,0,8%,10%,0,7%,10%,101.78
1933,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,88," 480,897,918.00 ",1.18%,15%,2.95,12%,0%,1,5%,11%,134.8
1933,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,87," 395,263,358.00 ",1.45%,40%,2.91,4%,0%,1,7%,13%,151.77
1933,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,89," 363,040,779.00 ",1.28%,29%,2.91,1%,0%,1,9%,9%,121.95
1933,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,92," 335,628,992.00 ",1.41%,30%,3.31,14%,0%,1,6%,7%,111.93
1933,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,93," 276,422,893.00 ",1.28%,12%,0,8%,0%,0,5%,7%,109.51
1933,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,93," 224,847,614.00 ",1.24%,8%,0,7%,0%,0,5%,9%,102.55
1933,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,77," 177,961,940.00 ",1.27%,8%,0,11%,0%,0,6%,9%,101.88
1933,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,77," 132,002,659.00 ",1.26%,10%,0,12%,0%,0,5%,10%,103.37
1933,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,67," 93,667,079.00 ",1.50%,9%,0,5%,0%,0,7%,10%,101.78
1933,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,67," 66,875,011.00 ",1.30%,10%,0,7%,0%,0,7%,13%,103.78
1933,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,58," 42,105,154.00 ",1.44%,9%,0,9%,0%,0,7%,10%,101.78
1934,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,33," 117,320,339.00 ",0.34%,5%,1.96,10%,0%,1,5%,11%,134.8
1934,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,33," 97,702,229.00 ",0.33%,4%,2.27,9%,0%,5,7%,13%,151.77
1934,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,33," 81,453,015.00 ",0.33%,9%,2.22,8%,0%,5,9%,9%,121.95
1934,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,33," 68,001,605.00 ",0.89%,6%,2.51,8%,0%,5,6%,7%,111.93
1934,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,30," 55,385,752.00 ",0.39%,40%,0,8%,0%,0,5%,7%,109.51
1934,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,30," 49,836,332.00 ",0.57%,31%,0,9%,0%,0,5%,9%,102.55
1934,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,28," 43,907,473.00 ",0.45%,54%,0,7%,0%,0,6%,9%,101.88
1934,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,33," 40,772,920.00 ",0.36%,5%,0,10%,0%,0,5%,10%,103.37
1934,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,33," 29,192,707.00 ",0.30%,5%,0,7%,0%,0,7%,10%,101.78
1934,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,33," 29,192,707.00 ",0.30%,5%,0,7%,0%,0,7%,13%,103.78
1934,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,190," 23,223,299.00 ",0.33%,44%,0,10%,0%,0,7%,10%,101.78
1935,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,39," 128,829,355.00 ",0.55%,37%,1.6,6%,0%,1,5%,11%,134.8
1935,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,41," 115,621,392.00 ",0.60%,19%,2.48,7%,0%,5,7%,13%,151.77
1935,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,42," 98,407,406.00 ",0.52%,16%,2.48,8%,0%,5,9%,9%,121.95
1935,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,42," 80,639,855.00 ",0.59%,8%,2.72,5%,0%,5,6%,7%,111.93
1935,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,39," 66,406,036.00 ",0.59%,-22%,0,9%,0%,0,5%,7%,109.51
1935,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,39," 50,679,422.00 ",0.58%,3%,0,8%,0%,0,5%,9%,102.55
1935,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,0," 40,602,683.00 ",0.61%,11%,0,8%,0%,0,6%,9%,101.88
1935,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,42," 31,854,146.00 ",0.72%,15%,0,6%,0%,0,5%,10%,103.37
1935,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,42," 24,684,334.00 ",0.79%,2%,0,6%,0%,0,7%,10%,101.78
1935,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,63," 8,736,278.00 ",2.04%,3%,0,5%,0%,0,7%,10%,101.78
1936,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,140," 230,504,745.00 ",0.91%,23%,3.9,6%,0%,1,5%,11%,134.8
1936,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,5,116," 202,548,101.00 ",1.37%,44%,3.32,1%,0%,1,7%,13%,151.77
1936,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,0," 188,262,651.00 ",1.46%,23%,4.12,8%,0%,1,9%,9%,121.95
1936,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,0," 157,061,819.00 ",1.71%,13%,4.28,13%,0%,1,6%,7%,111.93
1936,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,106," 117,538,900.00 ",1.89%,30%,0,5%,0%,0,5%,7%,109.51
1936,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,0," 79,719,010.00 ",2.39%,16%,0,18%,0%,0,6%,9%,101.88
1936,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,21," 54,474,147.00 ",3.41%,25%,0,6%,0%,0,5%,10%,103.37
1936,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,0," 40,738,979.00 ",2.68%,20%,0,4%,0%,0,7%,10%,101.78
1936,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,0," 30,482,289.00 ",3.44%,14%,0,11%,0%,0,7%,13%,103.78
1936,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,49," 19,606,791.00 ",2.25%,5%,0,10%,0%,0,7%,10%,101.78
1937,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,37," 73,604,223.00 ",0.56%,42%,2.62,6%,0%,1,5%,11%,134.8
1937,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,41," 67,079,880.00 ",0.64%,117%,2.56,8%,0%,5,7%,13%,151.77
1937,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,43," 69,378,950.00 ",0.71%,40%,2.46,9%,0%,5,9%,9%,121.95
1937,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,0," 61,669,221.00 ",0.68%,17%,2.76,5%,0%,5,6%,7%,111.93
1937,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,45," 52,497,821.00 ",0.78%,38%,0,9%,0%,0,5%,7%,109.51
1937,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,41," 44,904,808.00 ",1.04%,17%,0,5%,2%,0,5%,9%,102.55
1937,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,39," 38,215,914.00 ",0.89%,84%,0,9%,0%,0,6%,9%,101.88
1937,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,41," 36,647,971.00 ",1.23%,13%,0,5%,0%,0,5%,10%,103.37
1937,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,0," 29,611,077.00 ",1.42%,49%,0,5%,0%,0,7%,10%,101.78
1937,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,0," 26,201,305.00 ",1.37%,10%,0,10%,0%,0,7%,13%,103.78
1938,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,70," 183,663,119.00 ",0.24%,33%,3.01,11%,0%,1,5%,11%,134.8
1938,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,63," 158,715,061.00 ",0.24%,24%,2.48,9%,0%,5,7%,13%,151.77
1938,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,64," 134,898,503.00 ",0.45%,51%,2.48,9%,0%,5,9%,9%,121.95
1938,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,65," 121,025,102.00 ",0.26%,33%,2.64,9%,0%,5,6%,7%,111.93
1938,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,52," 103,490,608.00 ",0.27%,5%,0,8%,0%,0,5%,7%,109.51
1938,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,53," 82,644,433.00 ",0.28%,9%,0,8%,0%,0,5%,9%,102.55
1938,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,46," 64,201,892.00 ",0.31%,14%,0,7%,0%,0,6%,9%,101.88
1938,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,32," 51,226,053.00 ",0.20%,21%,0,10%,2%,0,5%,10%,103.37
1938,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,33," 40,511,728.00 ",0.20%,3%,0,7%,2%,0,7%,10%,101.78
1938,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,33," 29,852,379.00 ",0.20%,18%,0,7%,0%,0,7%,13%,103.78
1938,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,34," 21,896,967.00 ",0.20%,16%,0,9%,0%,0,7%,10%,101.78
1939,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,386," 503,244,517.00 ",1.25%,17%,3.09,12%,0%,1,5%,11%,134.8
1939,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,216," 386,845,862.00 ",1.26%,44%,3.1,6%,0%,5,7%,13%,151.77
1939,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,322," 334,894,114.00 ",1.51%,14%,3.9,0%,0%,1,9%,9%,121.95
1939,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,327," 276,212,979.00 ",1.13%,10%,3.95,13%,0%,1,6%,7%,111.93
1939,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,312," 189,144,601.00 ",1.20%,29%,0,6%,0%,0,5%,7%,109.51
1939,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,297," 145,032,669.00 ",1.38%,15%,0,8%,0%,0,5%,9%,102.55
1939,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,270," 103,058,576.00 ",1.35%,23%,0,10%,0%,0,6%,9%,101.88
1939,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,256," 71,585,293.00 ",1.85%,58%,0,10%,0%,0,5%,10%,103.37
